,Entity,Code,Year,Number of executions (Amnesty International),Deaths - Meningitis - Sex: Both - Age: All Ages (Number),Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),Deaths - Intestinal infectious diseases - Sex: Both - Age: All Ages (Number),Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),Terrorism (deaths),Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),Deaths - Alzheimer disease and other dementias - Sex: Both - Age: All Ages (Number),Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),Deaths - Hepatitis - Sex: Both - Age: All Ages (Number),Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),Deaths - Parkinson disease - Sex: Both - Age: All Ages (Number),"Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",Deaths - Malaria - Sex: Both - Age: All Ages (Number),Deaths - Drowning - Sex: Both - Age: All Ages (Number),Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),Deaths - Road injuries - Sex: Both - Age: All Ages (Number),Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),Deaths - Self-harm - Sex: Both - Age: All Ages (Number),Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),Deaths - Poisonings - Sex: Both - Age: All Ages (Number)
5761,Switzerland,CHE,1995,,91.62367298202938,1931.930021433673,0.332620139727,26.25614649237959,1.0,25482.438541166324,5145.039969944478,503.0257494400377,2692.2704074704793,864.4977401688312,2024.958665370045,46.70521672156622,15803.464507324525,574.5818494674443,53.25054021864643,0.0,84.26355511339011,101.1449421247596,621.3862968131293,343.18785613315896,82.25909759504212,768.1452147782791,7.789939271994487,182.93361525950286,282.2013276678709,8.999999471149426,59.13402205728678,21.46083538103655,57.93383647709911,1674.7035261686096,1.0000000005762106,1517.4611559465304,14.9430659772801
5762,Switzerland,CHE,1996,,76.20694440056492,1827.7515914539554,0.331174611514,21.782625679799494,1.0,24629.347654621,5294.595805803499,521.3084693200714,2664.1420972724795,871.6700156404048,2090.971905534624,54.974623137876385,15663.256389494463,576.8868127740021,54.503821567030755,0.0,77.33936639710635,95.33044906379308,454.6180695884214,306.6647090415295,79.3775756591488,685.2985911118401,5.165302999788719,182.87394330247548,263.6026686838665,13.99999954842164,51.509618392717336,20.561053130674587,46.22713123009346,1579.5726116510614,0.9999999999928739,1522.5222337415175,14.003763047057708
5763,Switzerland,CHE,1997,,65.18729006919864,1884.5547688840854,0.336630151154,19.639196269629547,0.0,24730.339191330524,5485.383203175407,558.0195249825309,2734.2813979009743,898.1078658037137,2180.1933574965874,61.91740552983418,16049.944851695189,595.7333589130316,56.972967455092174,0.0,79.34795069777634,97.21875394635305,289.0808863041473,293.72576346683104,77.04943212946355,657.2443120224175,5.146054932665126,182.6377028158276,268.9812053017498,21.99999946183489,49.32543332424107,21.732580780306684,39.86556788542178,1572.6747621963898,0.0,1518.0927242065634,13.892545790980325
5764,Switzerland,CHE,1998,,57.355550904800275,1870.1823512561193,0.339389630277,18.479117024887923,0.0,24310.932398181725,5600.4431816228125,586.4990957970847,2744.999290054529,905.7674671556717,2230.9315199148555,69.29374906933643,16164.509897596465,606.111849651406,56.332377109783145,0.0,78.02375847146061,92.21456945891201,209.0065444386213,282.5904052068273,73.78878381727671,636.4766191519925,5.060737958735687,179.15414699751202,267.70365698408403,4.999999716508518,46.66949248979783,21.845091954847227,35.425854530424736,1559.9956405190014,0.0,1505.441140853975,13.471736201221399
5765,Switzerland,CHE,1999,,54.12041755570982,1839.9016798270318,0.342427889485,18.069917936095038,0.0,23821.790223672924,5699.506007881781,604.1747690959397,2715.069903601232,909.9344749188808,2280.236123295031,72.30415046048066,16064.820707802794,612.2739941383434,54.63200940956748,0.0,75.95322761743175,90.10580476938298,165.91431685327186,264.87573467101157,67.6945502174853,604.7365178318638,7.068855422415429,179.73654356584888,265.7184926366368,27.000000874757013,49.52584077966381,22.807847613054353,34.15289228244696,1510.2109865712482,0.0,1476.0973252214408,12.491118562654352
5766,Switzerland,CHE,2000,,48.789336757357766,1814.720427700547,0.34984583215000004,19.173487825312304,0.0,23869.578296762393,5816.377543317742,654.8132652868338,2713.979970976488,916.2501924055446,2341.535685824851,79.06521814107694,16403.417896594416,631.7657278549003,55.05820659453128,0.0,74.96980140175106,88.97463525801207,151.7999148754446,267.5512361738248,65.06680479295702,606.0373953882546,6.326091981818025,184.2323286683857,276.9717738247839,28.99999910814221,52.79008554571188,22.205537964845075,34.318814725256885,1553.3810578690232,0.0,1478.3191743779425,13.224430226844001
5767,Switzerland,CHE,2001,,41.16288752302148,1677.77893360386,0.348441089092,19.15571334607728,14.0,23196.677053521227,5859.742020954051,677.3938762676722,2624.5549723982995,919.6496374601927,2359.967880201813,81.54159379242638,16285.551456193189,638.8086820046758,53.051226762073576,0.0,74.51377083242919,88.15904717991448,136.68364716778694,259.0929637652926,58.57101540102179,570.4838341412351,3.29820315274851,183.05676417737445,275.43823079725416,19.999999723321192,56.51503934540992,21.042500967805182,32.63014734179369,1528.632019416365,14.000000113844287,1450.9359578799936,13.462109724845195
5768,Switzerland,CHE,2002,,40.93911009403675,1686.2994914266944,0.34830053031499997,20.204015918358774,,23227.476966759066,5980.437386358286,731.6249133056855,2638.1435957833205,928.412734482397,2391.7403654591644,85.95348537904755,16458.805108050547,660.0164322430852,51.59230924021926,0.0,71.00326743225038,85.95076556945288,114.09672931423019,254.7401217923293,54.977270360724475,553.142378496546,4.237809623089111,172.945994084812,274.0279505007468,19.00000020005673,63.16394704497907,20.823982630301145,34.236512246531355,1539.7843867152035,0.0,1467.4336732082181,13.24669340076304
5769,Switzerland,CHE,2003,,36.412175891839155,1659.7609648482166,0.345363089861,20.45802017744301,0.0,23186.775717052675,6073.891730415645,790.6755482319599,2665.498701256144,924.4529993987444,2424.7666073028936,86.34984689873919,16626.922372320783,679.5729090250107,49.782159475325116,0.0,67.53168752637272,81.4801805239668,105.17738349167415,250.57168342351463,50.90046732447578,541.5486969018185,5.646007787594158,166.33712802781804,276.4710950167623,9.000000135702495,73.58802862357177,21.00504400168265,34.479332275796416,1511.1619593071946,0.999999955004278,1480.8797617368023,12.400527060328365
5770,Switzerland,CHE,2004,,34.42867602663643,1584.097248220089,0.339681788286,19.75028211496311,,22243.4505699132,6051.391038411246,826.466294444827,2589.1218714243105,909.634383888816,2399.480465811461,82.32907517080218,16434.923307990517,678.2304376516347,48.81522549968808,0.0,62.820251114739435,79.06865306432779,89.50402313536614,245.61416150615497,46.89975965692929,512.0929021367505,5.651763997250288,171.2322522335429,266.23995811729856,10.00000047527969,77.67066720524737,22.20413859551307,33.59433149374899,1472.442084897512,0.0,1388.0737158665354,12.094355847047105
5771,Switzerland,CHE,2005,,32.121807606880324,1564.2253499244669,0.340323790322,19.84572688891805,,21982.236664075634,6121.3906774058005,889.3658652314563,2594.611472350426,905.8112119556113,2423.1857577300634,79.06016451511492,16476.312288049867,692.5121272624132,47.113139282782214,0.0,58.901421653807525,74.53128481304906,72.25660850894056,245.6863657165373,45.108530943244716,478.89518292384173,5.202828021364646,168.8659221705369,258.9576986993125,25.000000295284465,84.16499244147491,24.968787074714605,32.92555357874555,1447.284691917038,0.0,1331.0530300109313,11.988761520703713
5772,Switzerland,CHE,2006,,30.709147980697413,1513.051695390001,0.33763547178400005,20.85887880657533,,21838.411460641943,6223.733099914359,976.8099189104064,2608.2603689140938,912.1214067644563,2460.6576950107856,77.39974928994582,16717.07326726465,710.5871424853058,45.68442072892531,0.0,58.546104094540226,69.40241229041008,78.46888006031541,238.76028681507302,45.21051995224365,460.0876505517346,6.5498262665115785,171.09959544394997,254.7919050161314,11.999999984049811,96.46054093432663,20.61408535330681,34.60289925171936,1425.7985616928302,0.0,1302.8690296104314,12.147605276215026
5773,Switzerland,CHE,2007,,29.35387778403376,1485.6684256783453,0.338716444881,22.73760274854317,0.0,21616.703724007293,6310.017354464603,1072.7683259590444,2627.645084531693,916.350501149196,2476.546597176773,75.83339732250337,16913.26435745106,725.8285220201652,43.969458448144685,0.0,57.68953714830311,66.3107698304517,64.78710888926061,232.31334102517783,42.73358318175587,441.38657563223535,3.5427496571312536,168.49433630026442,259.05389911132005,8.999999941726433,107.57498122490915,18.752120726436893,37.191864526740616,1397.3501988868109,0.0,1276.535163476588,12.037596525370677
5774,Switzerland,CHE,2008,,28.758763212708324,1450.8231431460165,0.333696996298,23.945958309761227,,21272.11263654257,6390.076829624913,1155.3328823763702,2645.76818365337,912.4700219507993,2478.176753365537,75.80179512890926,16937.732884608817,739.3793975670436,43.759019615969365,0.0,55.54643750057897,63.25186519397575,52.7044737039585,227.6615331757265,41.71149286624432,424.06491407664765,6.335236768703308,170.15303296413558,257.96174906048503,11.000000268428183,125.73410441204857,17.059178591248767,39.039673580537965,1349.5393685540523,0.0,1240.247353595767,12.341184336987784
5775,Switzerland,CHE,2009,,29.08627031169301,1472.826508675471,0.336061522813,27.44204905476883,,21378.50500626513,6543.590788809083,1263.6747176804988,2744.3607446324827,927.19698296125,2517.291313986523,77.50274594302637,17341.121447135094,766.7985024298694,43.784123029705896,0.0,56.2295892728611,63.81840225338615,49.53399936131939,223.87551804832734,40.423114749943316,418.9468787687362,4.800560456739155,179.4067371252024,267.0391169330256,12.00000065344981,143.2090086298681,17.519330587298132,44.34386129712744,1323.6548179149581,0.0,1211.7624046738365,12.038286274192659
5776,Switzerland,CHE,2010,,28.362159853839263,1448.8143128319928,0.336406879731,31.528415770975432,,21151.75549794309,6659.665977703276,1354.567365618405,2770.809012037777,925.3314168172253,2524.3364587215297,79.69721728694907,17499.455767632848,782.1287474711827,43.437501810758846,0.0,55.84209543506609,60.521735756038616,47.90008368145631,208.88691259031688,38.98726877298232,394.5125830794838,4.828124270048157,171.0521829782863,264.7457848749889,16.00000085438374,165.36935075828316,17.053613127494714,49.39803193423748,1267.7778476993128,0.0,1166.2113883348832,11.877274695937581
5777,Switzerland,CHE,2011,,27.484033127758657,1446.9893414557223,0.335504685187,34.01216871672521,0.0,20680.554703153146,6732.009089825182,1410.6127494011782,2746.3361323738563,917.215002016768,2515.8846727600007,79.13130422647787,17430.01583980206,788.6494264787706,43.48278418777275,0.0,54.97566690530879,58.922794035279864,41.72527035918001,200.7936209930421,37.39885093022415,376.88454189435447,4.7775268638943915,167.10778320677383,262.6796107007591,13.000000057064485,183.25058719753224,16.41188276743612,53.461594957630545,1233.2095144752757,0.0,1120.5644285306264,11.558011404990973
5778,Switzerland,CHE,2012,,26.442680376126514,1487.3429612907266,0.34239075744,38.64176291702702,,20893.36154535732,6866.1100825507165,1510.2704241720962,2789.033485250808,928.9218339876016,2536.1381337854045,81.68591019515925,17740.092112749277,809.7689242560249,43.84673027940542,0.0,56.27422126392973,58.515608911753276,49.227434537001955,198.53389876689576,36.18573910474515,370.2289170797072,7.175162850995116,163.98675160688612,263.0758490111129,11.000000260825052,196.32505381224757,19.652304405304104,60.44958209577728,1231.8270604003226,0.0,1113.1789435545606,11.846566168512432
5779,Switzerland,CHE,2013,,25.973599728085876,1520.856473335777,0.342776956651,42.28714461219656,0.0,20938.54067169496,6968.2285832312855,1572.6692168142747,2826.6726918765075,929.4299362940628,2536.271781741327,83.80809484305084,17893.330417203946,825.5261529247081,43.523806011168254,0.0,57.00857312276743,58.30411529926473,37.59796170844997,201.70057173640058,34.48420033545011,365.10072101731794,4.645138438419909,170.12880727221471,267.54321427553083,15.999999659298973,204.64863858299773,16.41702436936108,65.75658155934025,1234.1469338779978,0.0,1105.089049785052,11.494420417448964
5780,Switzerland,CHE,2014,,27.226973778928794,1533.0803884901386,0.34135761616899996,44.34487662410425,,20654.04057000297,7043.458317048009,1596.3739135110445,2799.604364905499,924.1464872663072,2529.5871563692112,80.29770246676821,17831.279710419476,829.4429002551439,41.6557924821434,0.0,55.861359262779686,55.365659875057624,38.91694759539704,199.51650323178677,32.14425659524633,350.11212927047853,6.44948463315303,172.3793542999566,263.1008475466425,13.000000211311088,211.64986484164487,15.968615878008338,68.30001382987001,1198.339261126598,0.0,1078.776366004221,11.411389951723487
5781,Switzerland,CHE,2015,,28.531128954815685,1647.6159761221493,0.345858561003,48.24699969226693,,21046.84316703579,7301.030876798922,1647.493297793795,2856.8986554530684,931.9519190403427,2560.633237832601,77.9130365002863,17981.277525914284,850.023401594402,42.00538881175446,0.0,56.0339620814485,54.95194923067975,31.951278706561986,197.8909812285344,32.20337118804207,345.3351330525372,7.189185834190407,173.9793699824593,260.39329586652445,18.999998932892755,221.3782933574821,17.115985116174656,74.24689371778746,1175.3074526623732,0.0,1099.6724245772302,12.211129760742846
5782,Switzerland,CHE,2016,,28.145243064790048,1674.0511590942015,0.354980369458,46.59369412830842,0.0,21158.911662628096,7486.4965168785375,1592.0519559128954,2814.0157952222007,934.2955586919313,2611.5703239247173,77.21258142519369,17854.922637154687,851.1303183086842,41.268085443184624,0.0,53.055686981092215,52.75459202844506,38.01312515377602,196.81080458951087,32.65700233307825,335.58863031154203,5.459509067990147,160.55409368531681,254.81105333303987,0.0,211.57013446625092,16.215400366399926,71.25484534126555,1134.4163428997306,0.0,1111.8131062905588,11.315198548640616
5783,Switzerland,CHE,2017,,28.258970968511754,1696.5797028024438,,45.840300067427215,,21280.010614778,7596.930064420932,1558.3681054813092,2815.6372241119197,939.8522819991632,2640.8382640200352,77.15240613187699,17882.0882851418,852.4481656934403,41.254254465136924,0.0,52.25031875196557,52.702204405106684,38.339751947802014,201.3189296472019,32.93508680253196,334.4327814940304,5.230805590662829,154.41009524991975,255.21168770701104,0.0,206.0057110875717,16.107670202214784,69.94054066301051,1132.9828600861815,0.0,1123.458483463688,11.165226532837822
6262,United States,USA,2007,42,1538.0273098968626,80095.52780557411,26.826591215300002,3074.4298290176025,0.0,827191.2385397427,197751.36477317518,61820.620358785534,161312.71310017654,48218.320372149494,94288.27436005617,1555.2631267937024,599155.9412636211,23453.854593392763,5434.670366872362,0.0,4192.170352453728,19856.347379970306,12235.070992779878,25703.259425159653,927.4632523532093,47410.11408119583,1141.6253185591233,14722.281753930227,10580.235782795016,332.14504177334067,8367.934578587327,1282.8338392179664,3576.922088542421,40414.26077283016,1020.999999370903,66896.15386685652,1619.1329382735864
6263,United States,USA,2008,37,1519.0317347826278,81095.33782829548,26.2793100596,3185.911180020188,2.0,823970.5545582202,204359.67511883852,64807.71161876626,166006.92543826788,50143.53292533669,96504.88945943024,1323.282433684471,606097.2489555102,24103.03613166269,5262.158217947263,0.0,4165.0257736842295,19359.518952209408,11181.909875500878,27515.008890271383,904.3069416704998,45480.75613533693,1175.9834776467007,14127.69818544636,10878.146168919518,336.35522451342035,8984.170061042374,1277.796051411645,3698.7914704481514,41270.89999801034,472.0000011938941,66564.4248657064,1640.4422183250465
6264,United States,USA,2009,52,1474.1539104116168,81044.57923220049,25.886934818,3252.7424385422546,18.0,814684.505396072,209650.99247509462,67415.90974023542,168057.1367990185,51890.13935298656,98324.47470024061,1181.5168383684272,610980.1379324978,24560.52931391541,5112.241609027853,0.0,4095.2724632438867,18734.0747234654,10333.410212104463,29904.08295391376,875.3282622756523,43484.917549785525,1203.8459740626186,13233.447148786508,11187.69128471408,128.72649691608143,9304.105604152935,1317.7662903719024,3758.443118308711,42089.09572827253,483.9999992366056,65759.60608707657,1646.6064316107095
6265,United States,USA,2010,46,1401.0229092149689,80847.02705682383,25.785241693200003,3349.614901554837,4.0,805696.4341833275,216503.77888090975,70175.0735510483,169342.59646790722,53276.179247819266,99803.79590634158,1072.4601418258264,610608.2139589635,25064.599293961088,5002.8726462090035,0.0,4004.6352685721417,18005.623722821663,9081.645758504903,32475.18886633885,850.7252498441627,41532.65344697267,1084.1904658730252,12432.755130687581,11369.973105784293,204.2300233216801,9482.63653060698,1286.3941981036387,3855.7369322234204,42278.63630357699,563.869185044324,64449.94574349812,1630.9883383297379
6266,United States,USA,2011,43,1390.8526572621286,82789.76206447001,26.045913968,3511.4143710225926,0.0,817311.83101254,224952.99288439352,73837.36407044098,175152.7359311583,55293.87536426127,102332.30609174087,1015.7835730267797,619588.8694327851,25872.264124439516,5019.95533721856,0.0,4012.266428635408,17981.501888831048,8364.589408475498,35924.61708678958,850.6135800973801,41195.01579858889,1151.2806336995081,12296.179878836609,11776.215499836146,960.8803555397012,9798.926963330314,1403.6286658153797,4038.265499643349,43473.57829513869,474.0000002468957,63393.04811109857,1673.3746799612063
6267,United States,USA,2012,43,1360.7287591264696,83685.56010532254,26.6836871487,3635.958774353247,7.0,821110.9861041191,231700.96198319137,76101.48630220586,177968.861077331,56956.89663196506,104330.61593662518,972.9551900559892,625125.2657051174,26435.099524043668,4985.710416781761,0.0,3973.1341570817876,17821.894381895785,7898.088973795274,39394.97648552192,844.165728931265,40764.82805286774,1179.242296352474,12184.504868854368,12077.038431932706,280.42432143744577,9837.110322772134,1367.0314724033196,4178.643021878692,44113.43579968272,324.00000033386345,62480.53243289454,1678.8245495024405
6268,United States,USA,2013,39,1359.17333440381,85776.75310364843,27.161321439,3807.0995439583503,23.0,830227.1402334577,238418.1483665526,78992.84562978723,182150.76066718227,58534.77864033458,106508.14161308514,954.9052560401918,633437.7811814268,27115.742560352403,5083.865677884846,0.0,3948.261779794812,17653.84809996931,7597.176847748574,43817.90911337672,858.1877939284543,40415.90512947609,1253.4842860867266,12171.493374260283,12434.552926257024,233.98403289664364,9832.694216240316,1366.491578407671,4361.409972121221,44737.06970910909,149.9999998826961,61930.603969754826,1689.0738179617215
6269,United States,USA,2014,35,1347.1568510354464,87280.37079465567,27.7788798123,4021.160153689599,26.0,840356.1425618365,244051.17888017613,81192.59524686732,185238.0362601134,60033.8640807186,108663.27628134533,948.2582888882847,643549.410049007,27679.527218271,5091.632485428087,0.0,3967.485909455719,17803.316405836245,7319.890466091412,49328.71945124361,867.0608732419294,40691.65902748627,1260.4428029453138,12072.531621360034,12817.229165500583,266.345756965593,9744.855189372343,1366.2227902461814,4602.409028800814,45680.67751126266,79.00000001284255,62256.6228419378,1727.2423180503995
6270,United States,USA,2015,28,1363.7256354484605,89325.54630531641,28.5056885354,4241.455807893487,54.0,857259.6471311147,249946.16578797263,83242.15534825242,189604.53813427011,61142.05022380867,110578.96202063387,957.4233568795637,656311.6690194719,28359.442344985302,5207.354117038432,0.0,4083.1338003179076,18630.979879614064,7028.629542864769,56156.030979869705,884.9113050028873,41869.84484674389,1268.1761256053367,11980.724672458742,13321.902669452085,279.9221541308053,9722.074442306814,1390.3929469540542,4852.278821789862,47037.701288519034,67.00000005323253,63504.54186045465,1783.199359828731
6271,United States,USA,2016,20,1408.1190510884348,91658.3535330017,29.3277983284,4230.779508774785,68.0,880573.9138929733,254206.58452047518,83665.25308553307,192699.7590366528,61821.393995105085,112511.90039645815,1034.2698749275937,680207.1559443702,28978.344820586237,5395.082236938903,0.0,4201.538675444619,19614.312286047894,7414.202380000128,64619.74920376361,916.5880899331057,43594.070514770974,1199.3029810689713,11804.275318957842,13819.44198666391,240.50000009405312,9561.053078045943,1430.476125972561,4836.8444492116805,48471.33289328526,67.99999951073832,66377.86417562836,1819.2738241969698
6272,United States,USA,1990,,2769.4304240895976,67896.12954577728,30.729206009000002,1534.9937947974902,5.0,875093.6836846565,125258.40000521456,30479.450656177818,98675.41826696756,35809.57435951897,74995.24321879036,1706.1603741357903,522190.5115076038,13261.197704966355,6423.404038028671,0.0,4572.564462152349,25132.12728623913,27519.703628899326,5965.310315570418,2279.6273745461012,48899.36798137834,591.4850080045643,18394.020036309408,6535.898939488813,241.92541226682064,569.6735957172004,1276.5446275292586,1915.7499160237478,34155.1491254543,22.99999983157999,45105.87877445836,1408.9715065866296
6273,United States,USA,1991,,2366.4994842131373,69158.28639713285,30.6211426944,1575.9431895338355,2.0,873846.585081641,129813.73451749115,31213.755739729328,102697.4516839366,35728.61632952424,75326.47904619806,1927.6440117699835,531661.1902704842,13648.305212203642,6239.639736836246,0.0,4458.585130920667,25514.271020680117,32223.562936326674,6417.9533383993785,2193.8807125089747,47979.8678863951,583.8051935638861,17495.442553234545,6669.750497813741,144.20098376463292,616.8183662783404,1205.7665315810293,1967.4852014545236,34409.958664187194,157.9999959344309,47012.51720299867,1362.7705503463562
6274,United States,USA,1992,,2319.131309078518,69914.06595848755,30.4382627177,1626.7212036987612,2.0,868099.2413919389,133985.78022717062,31891.938501315934,105853.14341849026,35548.601591122795,75451.60096491371,2165.345451825688,536578.8792225968,13998.88872513982,6002.255622924527,0.0,4278.985698615606,25100.28139363981,36373.25830669684,6953.672283999254,2071.063854723801,46520.76145964165,566.9211322612373,16513.40803067655,6779.904020424535,147.87957063311902,669.7806356616047,1172.9860462000963,2027.8994274089914,34317.62625007255,14.00000025281003,48600.39438852853,1291.8313147640786
6275,United States,USA,1993,,2381.414073949066,73047.43141618629,30.460615782399998,1750.2247701253011,,892670.2228503993,140831.4717380061,33633.481905640445,112687.70603949054,35941.259170591584,76569.252808717,2523.904857308496,552889.1313950836,14710.412145608365,6221.012652768546,0.0,4323.898372218497,25508.38788183419,40483.733387808206,7862.512710411242,2017.8927294449404,47266.914197818885,574.5521603970947,16054.45770206918,7054.345211766679,352.34673963955186,761.1880188178357,1313.0485498318255,2186.6080268115056,35357.846525435096,60.99999985401799,52041.89081329849,1289.369140589819
6276,United States,USA,1994,,2363.580301307149,74347.88039242249,30.4973820454,1840.62540399118,10.0,895721.3251015308,145635.80611103913,34590.72244600252,116670.91337253488,35961.12344863672,77005.13864629783,2892.295980249997,558768.7034884344,15172.923020715745,6010.653182840892,0.0,4225.483147431818,24818.89570315575,45017.11388563962,8548.716059781584,1906.1575701874647,47257.52891823818,581.807286564164,15446.160722388306,7156.556938694381,304.5904964060767,850.2309693231863,1222.4112491154342,2297.512839845777,35553.13947938235,46.999999442993534,54377.777294366766,1261.8337463333187
6277,United States,USA,1995,,2330.869435231877,76131.74801211298,30.3541190482,1974.155623804912,178.0,906135.0858948041,150778.94158391713,35999.120342687864,121611.1584265919,36123.84806914962,77583.69720710562,3286.3863984671057,567531.9086480686,15787.901903249563,5958.038146902888,0.0,4182.626039355963,23987.483438869967,45400.95251490075,9312.07628827153,1807.5159526524208,47403.563154351315,560.3923827716395,14525.567473562933,7314.426871478802,187.3105662513884,961.6112161428873,1722.6022035957108,2461.0877493750995,35779.44149120312,251.9999947371348,57056.11148118039,1229.1402202997199
6278,United States,USA,1996,,2300.246707817077,77200.76768684936,30.006248921599997,2111.671189083568,2.0,903337.2216384246,153965.04526801774,37262.367752142614,124590.48547687162,36043.9975429709,77804.96298554401,3650.7217061445067,567772.0753632641,16286.285015831367,5959.726939634206,0.0,4078.045592774506,22294.732991254124,33718.01636859592,9957.798148926686,1695.2733203825153,47050.6290580354,565.4045759052386,14039.846272752475,7359.8312274076725,295.5109327596172,1094.7627759909203,1245.2340426501626,2625.0687673780176,35281.83380067299,44.999999268462,59102.715981408925,1206.5889325621808
6279,United States,USA,1997,,2285.0100620884327,78363.41135617792,29.874011378800002,2276.41348139367,2.0,900520.2024037684,156269.78616595964,38760.1207129115,128119.01890688721,36085.93949033147,78334.91770639141,4009.930410867172,567881.0929922053,16820.25054841142,5837.004475450376,0.0,4041.0438631947095,21687.78128952025,19251.610642758,10717.741017774975,1597.8424070261676,47042.97823285122,606.4186618385422,14047.877783972268,7436.7558818857315,299.5191683383738,1306.0509181031882,1215.4300869940207,2817.259272392378,34913.208806149334,17.00000132385073,60920.35818981878,1185.1354696394478
6280,United States,USA,1998,,2157.284200714092,79710.58904033198,29.8076341887,2466.203729601686,4.0,902631.9178567773,159524.74914527097,40651.163391152884,132967.67304786286,36295.103000905074,79111.0763851184,4385.745263009529,570682.122990464,17523.013680104348,5792.088726483744,0.0,4074.967222079179,20096.655400209977,15674.947147631174,11513.993904793271,1519.6132733007391,47136.99858726209,590.0218510526512,14249.08770866483,7619.873560621066,290.7422509225428,1585.2620329745307,1356.4106360290675,3027.8697554490773,34536.077185842594,23.999998712887077,62930.161404421895,1165.7375722589536
6281,United States,USA,1999,,2030.2334669659926,79322.755265108,29.8055044373,2697.4973999856893,20.0,913581.8823117892,164560.31007634872,43457.02439398651,139986.4889855553,36766.64346004687,80436.71999158752,4462.845157391172,578369.9642362478,18480.028869160702,5812.14114058415,0.0,4014.756505273896,19373.805839639448,16818.957598600362,12822.59305475753,1438.5420976231424,47793.97483508443,689.2750878536552,14393.910885578453,8084.693846450586,317.8238643561123,2105.8837371437344,1653.7969938195688,3254.063516644485,34293.60933370914,43.000000074077185,64949.87917125715,1207.4635371334218
6282,United States,USA,2000,,1938.7872969760867,79873.18172317455,29.8694114498,2829.263468807671,0.0,911396.3374590006,168172.18713536765,45703.23267846162,143901.5760215851,37567.072068602414,81859.60714334696,4566.458080506975,582362.8284798047,19297.82118091357,5797.570308372027,0.0,4008.7085946892466,19249.90151449101,15996.504558622722,14134.99134994292,1305.06906847264,48469.27789625956,713.1287757597769,14390.5009579177,8455.538845826717,172.53578285042005,2593.363630956176,1317.5816725612324,3387.367638138653,34717.34045707268,40.000000790039074,66153.99357856324,1250.9545019949835
6283,United States,USA,2001,,1859.2449082404205,80134.19710403039,29.326004427199997,2888.7411181758553,3008.0,907699.0022660823,171695.37754187308,48341.36901690855,147252.18103823598,38515.57613702255,83206.04111867961,4594.779831058387,586932.2890434454,20091.2870008209,5749.018106147895,0.0,4010.318271393644,19479.787095435306,15549.950885264348,15739.0644884741,1235.6621221018665,49274.213772801406,748.8021245044162,14159.121568685234,8912.564847636035,166.93468073987194,3186.1892645511493,1278.459642213557,3440.0685594251313,35697.62664082064,2949.997609635479,67801.3150400836,1311.5046216736
6284,United States,USA,2002,,1795.4434069039057,81069.24893475909,28.866734617,2947.367897186386,4.0,901781.91214746,175506.4850778544,50861.03787056877,150333.16282159716,39761.86485421835,84761.61280837604,4472.9035318946835,592109.1283429477,20899.27286227941,5697.830479997921,0.0,4086.3679026507702,19753.07208224216,15321.810724209432,17669.4253072647,1171.5703317649154,50049.87714869289,748.3143928125926,14445.940440134103,9373.57260523273,238.31450726623711,3970.096948178972,1282.8755564606565,3490.00648908223,36824.16681393376,54.00000003856977,68963.47639754292,1385.518028478323
6285,United States,USA,2003,,1747.9525642933245,81164.42546844519,28.3288748109,2947.022254557825,0.0,889338.9537273814,179186.47294077414,53207.54238979192,152955.2829328474,41083.658794996896,86304.43398429881,4095.416783517542,594654.9094970657,21530.740568198464,5898.34665136417,0.0,4089.5397841146887,19843.44754468127,14891.533719056464,19322.628041490672,1103.270018046506,50125.38654628914,900.9622302186698,14598.887567808457,9721.198548578775,221.91804064399886,4827.244548319569,1246.1076464977107,3477.105355443668,37497.129901096734,534.0000010577606,69493.9173705574,1437.755721529047
