Entity,1990death_share,1991death_share,1992death_share,1993death_share,1994death_share,1995death_share,1996death_share,1997death_share,1998death_share,1999death_share,2000death_share,2001death_share,2002death_share,2003death_share,2004death_share,2005death_share,2006death_share,2007death_share,2008death_share,2009death_share,2010death_share,2011death_share,2012death_share,2013death_share,2014death_share,2015death_share,2016death_share,2017death_share,ISO_A3
Afghanistan,0.016393540900361,0.018800004058021,0.0243040579267322,0.0247339367269744,0.0252279416501659,0.0274024161211677,0.0291776815105409,0.0302596446006467,0.0303063506686519,0.0317674698557239,0.0352096430033362,0.0359154427286536,0.0438028668477778,0.0443669048510293,0.0492269028402141,0.0531405735288507,0.0532009651547632,0.0591283730558772,0.0642109573836764,0.0674258735416234,0.0730029629899839,0.076415681978425,0.0804078234926231,0.0874500596818777,0.0916793462051648,0.0987900250074551,0.1077284855469111,0.1335909022336654,AFG
Albania,0.0069132017060823,0.0073218307760776,0.0080925121720536,0.0086853529862792,0.0094885701332147,0.0098831690527736,0.0098641097846012,0.0086606731014561,0.0105077336060373,0.0083212128817906,0.0091182968520164,0.0095954248269734,0.0095524226620234,0.0098168072288755,0.0099161289129978,0.0103250610604911,0.0105834951675804,0.0108740894737223,0.0104111984483771,0.0104937809531881,0.009844812305506,0.0088791865891897,0.0081791017768137,0.0077766484477672,0.0072620572040143,0.007156166180078,0.0065351449915238,0.0059452174753948,ALB
Algeria,0.0390957677578327,0.0443280737107625,0.0497285866729031,0.0556236312820605,0.0611395327736293,0.0678275077915092,0.0766762151389115,0.082739486053757,0.0928460914688882,0.1046849476972199,0.1155550026364489,0.1297892889262192,0.1455216203206133,0.1601636179272243,0.1817115749365745,0.2027290868328849,0.2162594823062644,0.2213202326712377,0.2221388632511579,0.2319560121512223,0.23489373412823,0.2423668573620194,0.2535581731184843,0.2507880477212334,0.2515002062024521,0.2261623347988951,0.2108458700815347,0.194724102091537,DZA
American Samoa,0.036137594401522,0.0493970956153686,0.0630202020090558,0.0760797569645096,0.087639937061846,0.0975627567724308,0.1054579186607219,0.1115983756691715,0.1162347749833151,0.119888997291801,0.1222468326917992,0.1226023043384141,0.1219908305120593,0.1182762387966334,0.1196608004506385,0.1183284099871354,0.1168295677440274,0.1140957128244441,0.1134227036128799,0.1006036145693059,0.1099089058781435,0.1063073618160035,0.103273469225117,0.1019427965420678,0.1036398281884798,0.1036794476988525,0.1043715899046636,0.1025531067415677,ASM
Andean Latin America,0.2985474400443755,0.3541996803743062,0.4005766818904881,0.4621596872551335,0.5317386122146229,0.5624164159937529,0.6341654927793732,0.7538882943493511,0.8313432876506586,0.9605134732410384,1.062566770611359,1.2222912251134577,1.2861615925385446,1.3031166555223352,1.3546751095468563,1.4198289598077074,1.4486188743281738,1.3500099349492485,1.2992693874627488,1.2711493385077843,1.231533357577295,1.224891561513119,1.3290446633859037,1.4886120029880854,1.620624877165982,1.652557774048533,1.6324023257798046,1.576410871836757,
Andorra,0.3855498706361308,0.4295656591184095,0.4741823002248732,0.4996095993269614,0.515030733659836,0.5421932496284189,0.5225774414923526,0.4521926482621758,0.4152008860766255,0.3646353474293348,0.3136282897522354,0.2986109718112675,0.2760116335967342,0.2598101732601727,0.2339486411019699,0.2208812036927718,0.219744953478168,0.2096722699583353,0.1955780028788267,0.1890821597870351,0.1700195078565916,0.1649922811848512,0.1578535561802373,0.1490475204339054,0.1360973464389974,0.1215839715837586,0.0959910941611781,0.079142480020697,AND
Angola,0.0814148546333954,0.1201770631708289,0.1710163089882408,0.2274150991468282,0.3263894018410507,0.4531488995570943,0.6110089624183185,0.7927359789904883,0.972970272818936,1.2832881730126058,1.62928866558971,2.015266790438729,2.4869904249824035,2.972045810775708,3.471942841494929,4.057064544683121,4.546445891012245,5.1594784992069975,5.693818081460528,6.197650264131297,6.653266460931954,7.145989308969882,7.61927981460259,7.867255114688364,7.90163155085377,7.833371623549818,7.830105180217966,7.92277485382307,AGO
Antigua and Barbuda,1.7625036262197038,1.3093244994065487,1.5874502217131383,1.836191015745459,2.012799766129237,1.965224486142509,2.097793540561649,1.727398791868552,1.6189414449695911,2.0080697081056957,2.6354769190101544,2.4876249261601973,2.3443348702605524,2.073655617275086,2.069557843378334,1.7883900377837962,1.8164988307929244,1.5209791046486991,1.4739506134864575,1.403547753412461,1.5280369292710665,1.501139762645608,1.3800857648744418,1.3169296646705315,1.649081539396216,1.6267960778746384,1.4033953045030596,1.333867746798872,ATG
Argentina,0.2428173774420186,0.2825523964804667,0.3717577382053413,0.4060165196138154,0.5339659186434005,0.6432995214708537,0.7198174344804992,0.7511771082317688,0.6794233291027607,0.6068565898528497,0.6132956511106658,0.6067240422565818,0.6139327663660175,0.6180467807565599,0.5815614821505578,0.5421726701449793,0.5584695473741776,0.5441591844748253,0.5497977683674222,0.5433608135960866,0.5078755812741499,0.4895485536824369,0.5219609051599061,0.5176618826039552,0.5222962816913457,0.530627714884382,0.5229193046700595,0.5181005862710719,ARG
Armenia,0.0046294801866638,0.0044490735222857,0.0041258819732298,0.0041614749929467,0.0042254846749338,0.0043067884185311,0.0043271166580658,0.0044050583659894,0.0044429835363556,0.004421390551277,0.0043788982920664,0.0043057057513948,0.0040927185403966,0.0040955237147983,0.0092139789047392,0.0155843533593728,0.0386591129078396,0.0294762047086574,0.0500805433487562,0.0502344794619816,0.042243757141764,0.0415072387791944,0.0776000557849987,0.0635082682863725,0.1100957244902603,0.1205876157181375,0.1075917491362732,0.0838797415326581,ARM
Australasia,0.2945923250752028,0.3400265454893539,0.3634100216270342,0.4179683674758712,0.4012602553773884,0.3647483617704931,0.3399283623443007,0.1791876638335389,0.1361149586521746,0.1257591003176044,0.1183579991719357,0.1044057838354476,0.0927482337052627,0.0929526112357993,0.1006233481688409,0.0829918164313874,0.0941818538997488,0.0815915111680031,0.061858821700161,0.0666000424840383,0.0588415702302023,0.065147794334319,0.0509754592453563,0.0473148777390516,0.0482789925882127,0.0407733545079491,0.0439995973066464,0.0425872616059896,
Australia,0.3129090369254605,0.3604849137235554,0.392114502866939,0.4649399050955704,0.4414121937656113,0.4152036358395974,0.3820886885008521,0.1885192802264396,0.1507758624798934,0.133695835577947,0.1262568488126665,0.1138282056459718,0.1017253149251231,0.1029952070712597,0.1100502385482398,0.088703133227406,0.1006842350697738,0.0895916690868222,0.0683906273070467,0.0727239185671793,0.0596651843555957,0.070899923652778,0.0530107271984411,0.048555996462779,0.0464393562676109,0.0440788615999857,0.0463849433691061,0.0448915778673733,AUS
Austria,0.0837532063424957,0.1083822331298146,0.1648100066497379,0.1779966625694328,0.2187261077803711,0.201842188136937,0.144838660892638,0.0823849958160962,0.0880411369195588,0.0734005737914645,0.0639138107003245,0.0668146587518053,0.0710019434781256,0.0664359550655611,0.0763257323862554,0.087344436632531,0.057622326813768,0.0790059283473495,0.0629680952207593,0.0521792058712379,0.0595770458489843,0.0534904835375767,0.0497659861904102,0.0645907748321909,0.05408624295765,0.055260455165782,0.044215099134786,0.0466867546987437,AUT
Azerbaijan,0.0265901860966904,0.0305069554341144,0.0318108777411862,0.0363044325811772,0.0391182019914259,0.0473973781929885,0.0531120359796356,0.0591914492413979,0.0651308352807017,0.0721300087396542,0.0794182761051679,0.0850623668607687,0.0882806791685131,0.0903263749272847,0.09384128607953,0.0959380713457752,0.0977598849728893,0.090660595132416,0.0713286168381345,0.0649003850274912,0.0647623541881068,0.0536412077328962,0.0426729094339807,0.038196178197404,0.0346652068194317,0.0371128045331875,0.0393694710838469,0.0417731323251646,AZE
Bahamas,4.502843249022781,5.929411978654349,7.443737141800272,9.477571096893502,11.014192442988072,11.278167752911807,12.599752365543395,11.209984401351573,10.615284692298257,13.522383502968696,13.48104613726499,13.440090463753751,11.764970746451487,10.636949330038044,10.172702573854298,8.496060994293332,8.846560810036376,6.911196307251746,6.3844716904201295,6.147695317596043,5.480145862437146,5.274399627256448,5.206249580649958,4.970865004770718,4.991701835778244,4.771793489917717,4.684004976569662,4.543295994583256,BHS
Bahrain,0.2158436753228994,0.2472144176686063,0.2784415186944792,0.3138262936976436,0.3510215872886505,0.3863880305094326,0.4199567454007242,0.4488133646388055,0.4757290178359301,0.5109895227147646,0.4858107605370355,0.4911018233547997,0.4699657933896939,0.4757672144827346,0.4792068534301545,0.5052268323255712,0.5136331261767205,0.535859150485133,0.5604913479507238,0.5769503028225159,0.5629339538670943,0.531202578273208,0.5049847991439377,0.4818446449444756,0.4450697594069715,0.4052958769403346,0.3800514671821869,0.347093499991213,BHR
Bangladesh,0.0,0.0,0.0,0.0,3.69842866734e-05,0.0002131400501106,0.0004082595293385,0.0007348786204986,0.0012184844307272,0.001906870518279,0.002823685532155,0.004143067852334,0.0059619167236796,0.0084452661915234,0.0118343420573648,0.0159228291921305,0.0206865218514011,0.0256976414035265,0.0312625351949991,0.0371809610078903,0.0436806914711608,0.052015838780361,0.0597984498287507,0.0646884930315189,0.0670834093873397,0.0697849292165223,0.0710247729097442,0.0711809035676313,BGD
Barbados,1.6010028703592372,1.3276096483437647,1.6228570508615383,1.7960958360930632,2.3269035647965035,2.413897329655581,2.1273662835397187,2.0964161349596577,2.142116112640739,2.256602919240909,2.832043682895688,2.606392833951704,2.0991943525262395,1.5623085535354648,1.5283202126972617,1.5254408124087893,1.5003386951472018,1.3938794919393462,1.2317191885830097,1.234661983615135,1.271844748357304,1.209538424177322,1.0799352964015028,1.010678225730115,1.015704126672068,0.9764419621536355,0.9379120362416702,0.9000165155899957,BRB
Belarus,0.0442013730898981,0.0643181734162831,0.0606273829057317,0.0673893460045981,0.0880271335856985,0.0905764672814623,0.0853098579478669,0.0966971852784967,0.0879873700941511,0.1151667455978368,0.0954651365186519,0.0820948855986934,0.1161558651387713,0.1475913510506722,0.1468905383588377,0.1584285921290006,0.1817319233843846,0.2149682693025933,0.2311921287229081,0.2636781175229516,0.2639242122291511,0.2922166738933591,0.2824848611703263,0.2633877580585814,0.2754759969438681,0.2721549497146223,0.2635628662306462,0.2514080050769962,BLR
Belgium,0.1295998691972043,0.1589150434679145,0.1248402957391337,0.1838359711547233,0.2001682725626836,0.23081346087076,0.17992071895854,0.1012633669317705,0.0770674903610539,0.0765243381600167,0.0799825762362097,0.0935519761175735,0.0909876719793129,0.0894758093815549,0.1016125764487353,0.0822424853261122,0.0694343975097604,0.0708827326809815,0.0762863457700314,0.067042308001515,0.0813811961931202,0.0766127584113393,0.0692472654686139,0.0733125615401443,0.0558040407695141,0.0585660891827358,0.05859765317973,0.0568621824788825,BEL
Belize,3.410594159499678,2.4479259343176865,2.699004028920182,3.430956341183215,4.108609300798071,3.370486312088449,3.809253056150098,3.1748741085913434,3.2248965255972983,4.417377814644159,5.052598570183179,4.544466297356918,5.807085277546036,5.97552352982713,6.110065973450783,5.161278220100961,5.232494335198921,4.618156740637588,4.100674566499179,4.746257007794448,5.047063885985306,4.734059213816061,4.561515791976813,4.53873545310088,5.092468174955312,5.164697987287537,4.492044281362633,4.330654856344294,BLZ
Benin,0.0669394858131335,0.1314661898103805,0.2502885785981257,0.458432268354263,0.7710479244784366,1.2031847719482682,1.7254046588046892,2.3297574208250285,2.9517444664607284,3.561282752644198,4.107216280376926,4.54907340364336,4.953164569274734,5.211301557369128,5.393103065435667,5.496109719009552,5.512317959821392,5.485933829958337,4.811042102087584,4.0063024720268885,3.3894393096836084,2.974577446641652,2.7390921780521764,2.7863178518693497,2.8315924219145723,2.702165038391239,2.4390374210211374,2.2459314915098925,BEN
Bermuda,3.2508184032077683,2.343080129957526,2.774225519515175,3.608095909661581,3.5763241415828197,2.5991047846557205,4.076403250294742,2.8114265411634105,2.5995265230377127,2.8242689749194274,3.619250668606226,3.082549286556268,3.0878662658125875,2.851899533317827,2.566988247233652,2.019219003547136,2.132017957295893,1.8935906156296127,1.844048855821922,1.64655588601575,1.6107648038742508,1.5568242577419238,1.4547752974236905,1.3843032528111705,1.6745279668676116,1.6928273126386382,1.392617183791584,1.3020728092217426,BMU
Bhutan,0.0998878053766908,0.11376954895892,0.1531540411442631,0.1798267754194095,0.2133169018068689,0.2464572892211502,0.280166363088702,0.3148653064035371,0.3490634979082314,0.3904326254810171,0.411077008538997,0.479393500012404,0.5325256878675074,0.5879221607858225,0.6460780712139994,0.7044415715794878,0.7748830373934897,0.8412647311018685,0.9465823929041236,1.0506048881159464,1.1696880786109558,1.28027471080581,1.4092726303013774,1.5385855015751977,1.657809748402545,1.7742580941090829,1.87738570496112,1.974669505022459,BTN
Bolivia,0.4196223431556279,0.511371053450727,0.6015806800448427,0.690690655134932,0.7808633662734947,0.8574907795176735,0.93155050133284,0.996618238330443,1.0651412350657623,1.1330699600075795,1.1978341069591605,1.2557480016285028,1.286587228004878,1.3194502987668526,1.3506132826282071,1.3713110345272732,1.3871336797224676,1.4065791764923454,1.4612805094780197,1.494191711237597,1.5382686143569453,1.6577766898183153,1.7597961863550775,1.827349234290352,1.854991019374651,1.848209395358688,1.8158413564414988,1.7606547172250877,BOL
Bosnia and Herzegovina,0.0136404161713182,0.0132812623442935,0.0103044196016567,0.0107314463826823,0.0118751616012696,0.0094581664073311,0.0131377712390877,0.013146294497742,0.0129693186588132,0.0116437896282549,0.0113551016741144,0.0109370493506136,0.0104945437416094,0.0103847398588535,0.0098814339018618,0.0086523141986951,0.0084753837707141,0.007668162094758,0.0074396191713089,0.0070500498973855,0.0065587628304423,0.0059889387556449,0.0055916523599604,0.0052723894444584,0.0050226861169983,0.0048830097478466,0.0045085339911671,0.0041524696961876,BIH
Botswana,18.317064890195397,22.532736534855477,26.83790096180509,31.312256144243797,35.92197094348063,40.6336589849508,45.636464643816055,50.13449277379982,53.98931151606976,57.15579110342396,59.47732909296054,61.105475443284206,61.96518087972189,62.32215091095974,61.91479134689575,60.79214210845559,59.237477443225536,58.03632487851774,55.51701297818206,53.05608435355317,49.94695405108617,46.94676039733345,43.94157686084009,40.55889233950933,37.24304588387659,34.47578439486628,31.61188798182665,28.67029241662869,BWA
Brazil,0.8427932575456076,1.0702898772707667,1.26217319347055,1.4843299898053364,1.6638772445231549,1.83085258333138,1.854664641515391,1.6005768120258923,1.4677173499494585,1.433155563690377,1.4223406677532182,1.4208745825699451,1.395324137811606,1.408702239688322,1.3621267567372373,1.364473011393258,1.3338326784245136,1.3269954788193306,1.34854017122549,1.321827425313054,1.3128883966806717,1.2783791006533711,1.2573236828519812,1.264471155803034,1.2426803375338389,1.215239604935034,1.1615397396909184,1.1419086507039464,BRA
Brunei,0.0785473415370719,0.092831702465057,0.1102774034762507,0.1243222585779918,0.1408310264028132,0.1597940305586508,0.1716922619215833,0.1743947843020538,0.1749717272494812,0.1769116384091167,0.1840113181478954,0.2029956482906846,0.2214919013881437,0.2435965853954541,0.2636377971651609,0.2836982358308933,0.3039381752988208,0.322070318604257,0.33829872772361,0.3531707721697639,0.3394269699741687,0.3118657976016591,0.3057397788329855,0.3073357188741941,0.3072849901982795,0.3127125695590904,0.2798212304967777,0.2490550182142273,BRN
Bulgaria,0.0332831683688132,0.0288397991480837,0.0310703724148682,0.0395345260247893,0.0530873155020056,0.0317700765290911,0.0543065917276178,0.0705741216127967,0.0876024094741633,0.0680733995937132,0.055661227717043,0.0578915098269232,0.0599336945258735,0.0622507928061312,0.0616009786516413,0.0865529112917223,0.0902263736686356,0.0877415984583013,0.084763983433044,0.0640092819521897,0.0669117693495619,0.0600723121044513,0.0684462117830469,0.0559955200647786,0.0510380225798735,0.0538348240222786,0.0526525253069436,0.0507738098799398,BGR
Burkina Faso,4.872138497785008,6.007256903284484,6.992101105750247,7.804115928240299,8.351902282664291,8.658444291224782,8.612657351206105,8.654227279631034,8.528803562007063,8.26204715730844,7.908766295875501,7.531337312023018,7.19674107039029,6.88891763889534,6.522618125564236,6.129479375605499,5.629943558234704,5.133931094041047,4.684371946030154,4.020283291579252,3.4654375290875463,2.916666215384457,2.5501094253532948,2.2511562983489943,1.96489451519102,1.7319684719214183,1.4894832031384606,1.446378816349977,BFA
Burundi,2.009090587431507,2.965788663732116,4.033102590427689,5.2543123572062935,6.112109069131571,7.34017568484534,8.410751486149975,9.473090208907005,10.846515549617315,11.854973028937955,12.559559813115428,13.304585051192308,13.775479227733817,14.00370876449985,14.053159961055986,13.65303475066958,15.030482839593292,14.32347890006936,13.355883240295285,12.401564465987668,10.895163965062196,9.159198931583475,8.158347205126146,6.99010668355568,6.012805026448185,4.849156969455177,3.878997275251072,3.206268167859931,BDI
Cambodia,0.0074220436897754,0.0222403839658166,0.1036808455585441,0.3085444036651112,0.6875166593801993,1.2798287441782294,2.050501890089641,2.9392702529347488,3.88022591630916,4.7865332570502686,5.588752445175612,6.292121654221142,6.787312044956005,7.0452489252945245,6.985066512469386,6.57627358617369,5.87222899039948,5.038179281443822,4.295394468885646,3.759434148396553,3.1303534085140567,2.645697437615274,2.3249178441138807,2.0708309733583925,1.8090514355405405,1.659784536441724,1.5123265968259736,1.3553868177470665,KHM
