Entity,1990_death_rate,1991_death_rate,1992_death_rate,1993_death_rate,1994_death_rate,1995_death_rate,1996_death_rate,1997_death_rate,1998_death_rate,1999_death_rate,2000_death_rate,2001_death_rate,2002_death_rate,2003_death_rate,2004_death_rate,2005_death_rate,2006_death_rate,2007_death_rate,2008_death_rate,2009_death_rate,2010_death_rate,2011_death_rate,2012_death_rate,2013_death_rate,2014_death_rate,2015_death_rate,2016_death_rate,2017_death_rate,ISO_A3
Afghanistan,0.4019543075114814,0.4585837374948447,0.5425123492411064,0.5336070007862503,0.5623733447748396,0.5974165073935254,0.6169996230672203,0.6333545879544351,0.6451584617428054,0.6357771125795649,0.6924055985802425,0.6882460137357826,0.7643325243262357,0.7278786137149704,0.7748515732991519,0.7960922583496307,0.7816485324927446,0.8360998518344182,0.853423953067325,0.8550549929779698,0.872267182066159,0.8606328742829513,0.8608352630145649,0.8841288434578864,0.9090272460263352,0.9625976868852546,1.0265726714148589,1.0874971907684623,AFG
Albania,0.0391320361674732,0.0423849408170539,0.0455736303438938,0.047562435410369,0.049967400635087,0.0521049110640945,0.0536645460296019,0.0532622676772112,0.0553561815054622,0.0448750540731632,0.0506104202724879,0.0531004403097171,0.0539776389685944,0.0569662091086368,0.0588255867640831,0.0614379598044473,0.0632606026299231,0.0644144158936913,0.0625305542940917,0.0629465789741303,0.0599389299187889,0.0554798469668815,0.0527443448385893,0.0518660574815337,0.0502932270918529,0.0508907065087078,0.0478636298659734,0.0448128832857535,ALB
Algeria,0.2160043148566226,0.2385648189430072,0.2625334550480845,0.2888783221437918,0.3171686009847708,0.3485810321553412,0.3831929025763108,0.4210058727211843,0.4634371891067766,0.5114573768451188,0.5656556551736819,0.6269828095417959,0.6936511708951251,0.7654561950852268,0.8433763010808726,0.9283803329062276,0.9776728114718928,0.9831840759452806,0.9696048865391064,1.0013474775778834,0.9999844741586452,1.019822960022173,1.0503352198211124,1.0347545669886289,1.0351487800889807,0.930470753671222,0.8585576315435989,0.7855146466078857,DZA
American Samoa,0.1842305340710855,0.2567241162167512,0.3316937283928228,0.4010342079467537,0.4611912710058112,0.5098183735540864,0.5462334193734514,0.5727362675767654,0.5911460896127286,0.6034155820255387,0.6095608946715814,0.611713842562247,0.6114927145921953,0.6108733243227537,0.6098182291814132,0.6088831651078588,0.6086228280956542,0.6032142396056643,0.6052436026730958,0.608717765100888,0.6042910032447708,0.5971047201733317,0.5919155978117363,0.5985268830343846,0.6133338318353838,0.6266471181408875,0.6418615234311287,0.6426565823657618,ASM
Andean Latin America,2.24005718605303,2.645945038498165,2.9608491369404577,3.3107071609114405,3.643261508294175,3.752720822086564,4.081101840541035,4.642351392833311,5.0031025218541325,5.493525804750727,5.897674663773083,6.500264309437406,6.823849270005501,6.950008550881136,7.151735249821455,7.439823175435891,7.449055122573528,6.867128424844575,6.618254708599389,6.623304753956907,6.402797351604804,6.261267247341035,6.667636044491954,7.311286634283653,7.786178106380988,7.804503564022042,7.765193390619714,7.507377717673907,
Andorra,1.6818644805393912,1.8589238566352333,2.078830967560763,2.165694269598535,2.29921283391039,2.4476022006419327,2.349341951730203,2.021636925364718,1.844739562277395,1.62357186683628,1.4078391204557674,1.3417435192977345,1.2522440706997289,1.1517080413182883,1.0230636675820204,0.9646865780364776,0.9491241666714388,0.910975861791052,0.8556962923872395,0.8434402167445323,0.7645093596293363,0.7573170843579672,0.7338798641434305,0.698271183497314,0.6397350158359829,0.5759224529588359,0.4636911236149265,0.3896525925840444,AND
Angola,1.6472186969052145,2.352479232127473,3.3107458640534664,4.582411648710123,6.235833067171925,8.344457390411328,10.959525306368302,14.108274101069648,17.855084261246365,22.208704345940006,27.155742267081227,32.57942480952213,38.38586276992119,44.47382060577921,50.62461262668212,56.7105806598955,61.84322371357581,65.84670255346502,69.01048540285025,71.71334988950008,73.3794983627288,75.04966165988375,76.6137650198997,76.09300770466709,73.07466624796608,70.43255464621096,69.1783763911603,67.95566515403102,AGO
Antigua and Barbuda,12.424928412121576,8.977748625437561,10.847726413283317,12.51008347564084,13.681707192741817,13.251593235100287,13.826450399218412,11.098392073123229,10.143216061528268,12.289051848224997,15.675977037034398,14.392120101671654,13.259367568460158,11.506958359068229,11.285112944590264,9.558138319094706,9.56875963315166,7.938343925274244,7.613779123708577,7.240902983896484,7.923191415868901,7.828252506711927,7.240007101493675,6.952608483380166,8.869098210127435,8.753186723316611,7.599356982940613,7.303764295580144,ATG
Argentina,1.9110510543811503,2.212446121175151,2.965206475443183,3.212616039169116,4.170872211337336,5.079348994461221,5.749267491750614,6.075549739325121,5.580434135290836,5.040398803699222,4.919181910000908,4.879799481955586,5.002382708942916,5.065545340987108,4.57632748584574,4.162065447252359,4.268260952215333,4.249553965263803,4.140767921665673,4.082820369548281,3.7921576029366,3.648569018862821,3.854361789108647,3.811994010320882,3.7751370669204456,3.8213708858692192,3.765267033416508,3.679224240597455,ARG
Armenia,0.0340555336071709,0.0337317557884427,0.0333367178803286,0.0330871096491135,0.0326073224268289,0.0323709002302734,0.0320316923440127,0.0317023522253387,0.0314115423847853,0.0311633551718564,0.030965146804663,0.0309062603248681,0.0305230761084853,0.0311524000842791,0.0709166632793435,0.1244991764220262,0.3298088396768074,0.2483798850003579,0.4418658476928887,0.4469133978767449,0.3717854357458902,0.3683781353438423,0.6879882155434893,0.5378504541673438,0.9313377610540928,1.0254376363260846,0.906693339569018,0.7212929926535215,ARM
Australasia,1.9516485264457009,2.1983706382205908,2.3551852430073184,2.6581568685608867,2.5534085606701966,2.313597540784451,2.157702828204171,1.120594785294136,0.839088395599666,0.7664007425101371,0.7144398764246946,0.6208448590933477,0.547494345942605,0.5441817992174598,0.5790818631301452,0.461715195256995,0.5262051690562657,0.4664026518430831,0.3503073435381718,0.373579867096904,0.3340175030238448,0.3662358492759339,0.2790786116775425,0.2637246971040136,0.2777300270707191,0.2394449277779488,0.2603552642449299,0.2581192812766961,
